id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video
863157680101363716,863157680101363716,1494627802000,2017-05-13,00:23:22,CEST,1080675211,freshbeeronly,papat444,"Brossard, Québec",Drinking an Easy Blonde Ale by @ACBCNYC @ Pat's Beer Cave —  http://untp.beer/s/c451242854  #photo,['acbcnyc'],['http://untp.beer/s/c451242854'],[],0,0,0,"Montreal, Qc.",['#photo'],https://twitter.com/FreshBeerOnly/status/863157680101363716,,,0
863157674187177984,863157674187177984,1494627800000,2017-05-13,00:23:20,CEST,118933913,montrealca,Montreal Weather,"Montréal, Québec",broken clouds -> few clouds temperature up 16°C -> 18°C humidity down 55% -> 48% wind 3kmh -> 4kmh,,[],[],0,0,0,"Montreal, Canada",[],https://twitter.com/MontrealCA/status/863157674187177984,,,0
863157452161855489,863157452161855489,1494627747000,2017-05-13,00:22:27,CEST,16444895,djubs,Beaulieu,"Montréal, Québec","Quand le Damas refuse de me vendre des entrées pour emporter 🙍🏼 (@ Le Petit Alep in Montreal, QC)  https://www.swarmapp.com/c/e84NRRdNhvZ ",,['https://www.swarmapp.com/c/e84NRRdNhvZ'],[],0,0,0,Montreal,[],https://twitter.com/DJUBS/status/863157452161855489,,,0
863157321597427714,863157321597427714,1494627716000,2017-05-13,00:21:56,CEST,1080675211,freshbeeronly,papat444,"Brossard, Québec",Drinking a Czech Rebel Beer by @Rebelpivo @ Pat's Beer Cave —  http://untp.beer/s/c451241820  #photo,['rebelpivo'],['http://untp.beer/s/c451241820'],[],0,0,0,"Montreal, Qc.",['#photo'],https://twitter.com/FreshBeerOnly/status/863157321597427714,,,0
863157292832837637,863157292832837637,1494627709000,2017-05-13,00:21:49,CEST,14875578,tjcs63,Terry Sanderson,"Dorval, Québec","I'm at Coles in Dorval, QC  https://www.swarmapp.com/c/bzy6bRPzVWm ",,['https://www.swarmapp.com/c/bzy6bRPzVWm'],[],0,0,0,"Dorval, Quebec, Canada",[],https://twitter.com/TJCS63/status/863157292832837637,,,0
863157229939286017,863157229939286017,1494627694000,2017-05-13,00:21:34,CEST,627465127,iosolutionsctr,IO Solutions Call Center,"Montréal, Québec",🌞Sunny days ahead: bike your way to work 🚴🚴‍♀️ #bikerack #new #transport #bike #bicycle…  https://www.instagram.com/p/BUAkUtYlOFq/ ,,['https://www.instagram.com/p/BUAkUtYlOFq/'],[],0,0,2,"Montreal, Quebec","['#bikerack', '#new', '#transport', '#bike', '#bicycle']",https://twitter.com/iosolutionsctr/status/863157229939286017,,,0
863157103858462720,863157103858462720,1494627664000,2017-05-13,00:21:04,CEST,89709338,polynesien72,G.P. 🇫🇷🏉🇨🇦🏒,"Montréal, Québec",BBQ 🍗 time @ Casa Di Paulin  https://www.instagram.com/p/BUAkRNHARMk6pYTF52x2oeUbCRdN2XDCQ-TF7g0/ …,,['https://www.instagram.com/p/BUAkRNHARMk6pYTF52x2oeUbCRdN2XDCQ-TF7g0/'],[],0,0,0,,[],https://twitter.com/polynesien72/status/863157103858462720,,,0
863154473572737026,863154473572737026,1494627037000,2017-05-13,00:10:37,CEST,508349856,bbamgallery,BBAM! Gallery,"Montréal, Québec",When people we love 💕 love our art too! 💕 Leah and Sam feeling the love with @dorothyskutezky as…  https://www.instagram.com/p/BUAjEp8g4kW/ ,['dorothyskutezky'],['https://www.instagram.com/p/BUAjEp8g4kW/'],[],0,0,1,Montreal,[],https://twitter.com/BBAMGallery/status/863154473572737026,,,0
863154409018195968,863154409018195968,1494627022000,2017-05-13,00:10:22,CEST,422319067,muaymuto,Muaymuto,"Laval, Québec",I don't give a fak. Ankle felt better so... 5 rounds 2 mins cycling 25 thrusters 45# Following…  https://www.instagram.com/p/BUAjCupgVS-/ ,,['https://www.instagram.com/p/BUAjCupgVS-/'],[],0,0,0,,[],https://twitter.com/muaymuto/status/863154409018195968,,,0
863153530546249729,863153530546249729,1494626812000,2017-05-13,00:06:52,CEST,16644486,jessewalker,JesseWalker.net ™,"Montréal, Québec",On Victoria Day Weekend Sunday #HennyVsGoose the official  #FiftyShadesOfGrey afterparty. Join…  https://www.instagram.com/p/BUAio5SBaCo/ ,,['https://www.instagram.com/p/BUAio5SBaCo/'],[],0,0,0,"Montreal, Canada","['#hennyvsgoose', '#fiftyshadesofgrey']",https://twitter.com/jessewalker/status/863153530546249729,,,0
863153443820777472,863153443820777472,1494626792000,2017-05-13,00:06:32,CEST,740718967917051905,djphilfire,Philippe Clément,"Dollard-Des Ormeaux, Québec", https://youtu.be/mfH7L4vQSQg ,,['https://youtu.be/mfH7L4vQSQg'],[],0,0,0,"Sherbrooke, Québec",[],https://twitter.com/DJPHILFIRE/status/863153443820777472,,,0
863153422631149574,863153422631149574,1494626787000,2017-05-13,00:06:27,CEST,54254771,papakostas_art,Demetrios Papakostas,"Montréal, Québec",Recent work. As yet untitled. 72 x 84in. #monochromatic #demetriospapakostas #mtlartist…  https://www.instagram.com/p/BUAil_KAFoP/ ,,['https://www.instagram.com/p/BUAil_KAFoP/'],[],0,0,0,"Montreal, Quebec Canada","['#monochromatic', '#demetriospapakostas', '#mtlartist']",https://twitter.com/Papakostas_Art/status/863153422631149574,,,0
